            一年级口算能力调查卷12
题数	题目	题数	题目	题数	题目	题数	题目	题数	题目
1	29－5＝	21	34－9＝	41	44－2＝	61	38＋3＝	81	39＋9＝
2	19－5＝	22	6＋7＝	42	97－4＝	62	34－9＝	82	72－6＝
3	63＋1＝	23	28＋8＝	43	14－2＝	63	30－6＝	83	61＋2＝
4	62－1＝	24	31－7＝	44	85－2＝	64	62＋9＝	84	29＋8＝
5	93－80＝	25	73＋9＝	45	5＋45＝	65	46＋6＝	85	10＋64＝
6	20＋50＝	26	37＋6＝	46	89－8＝	66	24＋7＝	86	83－80＝
7	33＋50＝	27	23－5＝	47	3＋45＝	67	80－1＝	87	89－3＝
8	100－40＝	28	28－9＝	48	40＋1＝	68	64－6＝	88	53－30＝
9	91－20＝	29	38＋5＝	49	45－4＝	69	40－2＝	89	89－50＝
10	42－30＝	30	49＋7＝	50	98－10＝	70	18＋3＝	90	3＋47＝
11	4＋53＝	31	86＋9＝	51	10＋69＝	71	93－5＝	91	55＋20＝
12	54－2＝	32	35＋8＝	52	98－40＝	72	13＋8＝	92	38＋50＝
13	8＋2＝	33	68＋5＝	53	8＋70＝	73	72＋9＝	93	28－5＝
14	25－1＝	34	51－5＝	54	19＋50＝	74	66＋6＝	94	66－40＝
15	74－50＝	35	41－5＝	55	62－1＝	75	56＋5＝	95	54＋20＝
16	27－2＝	36	52－6＝	56	1＋90＝	76	74－8＝	96	71＋2＝
17	36－5＝	37	3＋9＝	57	13－1＝	77	70－9＝	97	68＋10＝
18	34－20＝	38	67＋9＝	58	73－3＝	78	36＋6＝	98	61＋4＝
19	29－5＝	39	36－9＝	59	67＋1＝	79	78＋9＝	99	59－50＝
20	3＋40＝	40	76－7＝	60	16－1＝	80	47＋9＝	100	4＋86＝
 
                                                                                                       

