一年级口算能力调查卷14(混合运算)
题数	题目	题数	题目	题数	题目	题数	题目	题数	题目
1	24+4=	21	76+2=	41	20+20=	61	3-2=	81	2+1=
2	11-3=	22	76+20=	42	68-40=	62	7+7=	82	16-8=
3	5+2=	23	5+2=	43	58-7=	63	11-4=	83	20+23=
4	24+40=	24	4-4=	44	25-4=	64	6-6=	84	12-5=
5	6+8=	25	14-8=	45	70-3=	65	7+8=	85	12+5=
6	3+45=	26	6+10=	46	10-3=	66	40-20=	86	4-2=
7	7+12=	27	4+33=	47	55-5=	67	7+9=	87	49-20=
8	9-6=	28	40+50=	48	14-7=	68	1+1=	88	4+9=
9	14-8=	29	47+50=	49	30+8=	69	40+5=	89	13-6=
10	30+45=	30	17-8=	50	50-10=	70	11-6=	90	14-9=
11	3+4=	31	3+2=	51	8-2=	71	8-2=	91	10+20=
12	40-10=	32	17-7=	52	40-3=	72	5+3=	92	90-30=
13	52+3=	33	17-6=	53	56-2=	73	70+5=	93	7-3=
14	52+30=	34	5+5=	54	20-4=	74	8+6=	94	5+4=
15	7+5=	35	46-30=	55	70+20=	75	15-6=	95	6-1=
16	8-1=	36	25+5=	56	77-20=	76	7+8=	96	28+60=
17	17-9=	37	11+6=	57	15-3=	77	40+20=	97	4+33=
18	7+12=	38	12-8=	58	50-10=	78	5+6=	98	5+6=
19	70+12=	39	5+2=	59	8+5=	79	20+3=	99	10+20=
20	7-6=	40	24+20=	60	19-14=	80	2+6=	100	70-40=
 
                                                                                                       

